CityName,CityCode,Area
Birmingham,J01000007,229.134913131866
Bradford,J01000013,70.00252428527831
Brighton & Hove,J01000014,31.525045650543202
Bristol,J01000015,112.459984848835
Cambridge,J01000019,37.6249812996979
Carlisle,J01000021,18.9174732497559
Coventry,J01000028,73.5774244995575
Derby,J01000031,58.6999713495178
Doncaster,J01000032,31.0900253001251
Exeter,J01000035,27.3274838507118
Leeds,J01000051,111.6324759991
Leicester,J01000052,78.31752019362641
Lincoln,J01000053,27.4899595995789
Liverpool,J01000054,123.312586250725
Manchester,J01000058,97.3875176527405
Newcastle-upon-Tyne,J01000062,57.895024500549304
Norwich,J01000066,52.6225582991791
Nottingham,J01000067,62.502492999298106
Oxford,J01000070,32.6874859996948
Plymouth,J01000072,59.7301065250406
Portsmouth,J01000074,33.1000210799294
Preston,J01000075,30.5050729502869
Salford,J01000080,18.827501732894902
Sheffield,J01000082,122.48506965008501
Southampton,J01000087,53.5374782001801
Southend-on-Sea,J01000088,36.1499882496948
Stoke on Trent,J01000095,75.9975980004272
Sunderland,J01000096,39.137487501098605
York,J01000112,33.697505900329595
