CityName,CityCode,Population,PopulationDensity
Birmingham,J01000007,1111589.0,4851.242374226428
Bradford,J01000013,512248.0,7317.564691131101
Brighton & Hove,J01000014,291738.0,9254.165822119061
Bristol,J01000015,438115.0,3895.741232660663
Cambridge,J01000019,110287.0,2931.217403711654
Carlisle,J01000021,108524.0,5736.706935816617
Coventry,J01000028,379387.0,5156.296276751053
Derby,J01000031,256814.0,4375.027689040084
Doncaster,J01000032,312785.0,10060.622240752613
Exeter,J01000035,133333.0,4879.080735291591
Leeds,J01000051,798786.0,7155.498369546511
Leicester,J01000052,339432.0,4334.049382064365
Lincoln,J01000053,100049.0,3639.47424650026
Liverpool,J01000054,500474.0,4058.580029960709
Manchester,J01000058,529330.0,5435.296152505481
Newcastle-upon-Tyne,J01000062,221909.0,3832.954591769705
Norwich,J01000066,130620.0,2482.2054309365963
Nottingham,J01000067,318494.0,5095.700742745999
Oxford,J01000070,138004.0,4221.921502353792
Plymouth,J01000072,250489.0,4193.680784664058
Portsmouth,J01000074,197644.0,5971.1140220343805
Preston,J01000075,144147.0,4725.345198646519
Salford,J01000080,213830.0,11357.322019331006
Sheffield,J01000082,589214.0,4810.496509356323
Southampton,J01000087,238348.0,4451.984068222291
Southend-on-Sea,J01000088,182773.0,5055.962915881254
Stoke on Trent,J01000095,245496.0,3230.3126211781064
Sunderland,J01000096,277846.0,7099.2293511994285
York,J01000112,211012.0,6261.947119295143
