CityName,CityCode,BuildingNum,Area,BuildingDensity
Birmingham,J01000007,242781,229.134913131866,1059.5548128463547
Bradford,J01000013,15705,70.00252428527831,224.3490525569918
Brighton & Hove,J01000014,27886,31.5250456505432,884.5665224126171
Bristol,J01000015,202812,112.459984848835,1803.4147903595504
Cambridge,J01000019,40434,37.6249812996979,1074.6583414335053
Carlisle,J01000021,4047,18.9174732497559,213.92920431655534
Coventry,J01000028,102375,73.5774244995575,1391.3914586751498
Derby,J01000031,45248,58.6999713495178,770.8351292129156
Doncaster,J01000032,1874,31.0900253001251,60.276567224036945
Exeter,J01000035,34163,27.3274838507118,1250.1333890317221
Leeds,J01000051,167925,111.6324759991,1504.2665541285123
Leicester,J01000052,13321,78.31752019362641,170.08965512526638
Lincoln,J01000053,6448,27.4899595995789,234.55836581508737
Liverpool,J01000054,45305,123.312586250725,367.39964165445144
Manchester,J01000058,57955,97.3875176527405,595.0967988182327
Newcastle-upon-Tyne,J01000062,46535,57.8950245005493,803.7823699264258
Norwich,J01000066,50738,52.6225582991791,964.1872542861813
Nottingham,J01000067,68503,62.502492999298106,1096.0042825934843
Oxford,J01000070,33734,32.6874859996948,1032.0157383873134
Plymouth,J01000072,51121,59.7301065250406,855.8665466060837
Portsmouth,J01000074,21488,33.1000210799294,649.183876593647
Preston,J01000075,22880,30.5050729502869,750.0391832298442
Salford,J01000080,8564,18.827501732894905,454.8665097205759
Sheffield,J01000082,95188,122.485069650085,777.1396160522488
Southampton,J01000087,81509,53.5374782001801,1522.4661814520396
Southend-on-Sea,J01000088,1840,36.1499882496948,50.899048356275316
Stoke on Trent,J01000095,16788,75.9975980004272,220.9017184978087
Sunderland,J01000096,8005,39.137487501098605,204.53535755904863
York,J01000112,36357,33.697505900329595,1078.922579835334
